Category: All categories

Month,facebook: (Worldwide)
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,2
2007-05,2
2007-06,2
2007-07,3
2007-08,3
2007-09,4
2007-10,5
2007-11,6
2007-12,6
2008-01,6
2008-02,6
2008-03,6
2008-04,7
2008-05,8
2008-06,10
2008-07,11
2008-08,12
2008-09,14
2008-10,16
2008-11,19
2008-12,23
2009-01,27
2009-02,29
2009-03,31
2009-04,34
2009-05,36
2009-06,37
2009-07,41
2009-08,44
2009-09,48
2009-10,50
2009-11,52
2009-12,54
2010-01,57
2010-02,60
2010-03,60
2010-04,65
2010-05,63
2010-06,65
2010-07,67
2010-08,68
2010-09,71
2010-10,72
2010-11,72
2010-12,75
2011-01,76
2011-02,78
2011-03,75
2011-04,79
2011-05,73
2011-06,76
2011-07,79
2011-08,80
2011-09,79
2011-10,77
2011-11,77
2011-12,80
2012-01,80
2012-02,79
2012-03,79
2012-04,80
2012-05,78
2012-06,80
2012-07,79
2012-08,77
2012-09,77
2012-10,95
2012-11,99
2012-12,100
2013-01,95
2013-02,94
2013-03,95
2013-04,95
2013-05,95
2013-06,95
2013-07,95
2013-08,90
2013-09,87
2013-10,81
2013-11,81
2013-12,78
2014-01,77
2014-02,74
2014-03,74
2014-04,73
2014-05,72
2014-06,74
2014-07,72
2014-08,70
2014-09,69
2014-10,68
2014-11,65
2014-12,63
2015-01,61
2015-02,59
2015-03,58
2015-04,58
2015-05,57
2015-06,58
2015-07,57
2015-08,57
2015-09,54
2015-10,55
2015-11,54
2015-12,53
2016-01,55
2016-02,55
2016-03,53
2016-04,53
2016-05,53
2016-06,51
2016-07,52
2016-08,51
2016-09,47
2016-10,47
2016-11,43
2016-12,44
2017-01,41
2017-02,42
2017-03,40
2017-04,41
2017-05,39
2017-06,39
2017-07,39
2017-08,39
2017-09,37
2017-10,36
2017-11,35
2017-12,34
2018-01,33
2018-02,31
2018-03,30
2018-04,29
2018-05,28
2018-06,27
2018-07,27
2018-08,26
2018-09,25
