Category: All categories

Month,Tuenti: (Worldwide)
2004-01,<1
2004-02,<1
2004-03,0
2004-04,<1
2004-05,0
2004-06,0
2004-07,0
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,0
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,0
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,0
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,1
2007-07,1
2007-08,1
2007-09,2
2007-10,3
2007-11,4
2007-12,6
2008-01,8
2008-02,11
2008-03,14
2008-04,19
2008-05,24
2008-06,27
2008-07,28
2008-08,30
2008-09,41
2008-10,51
2008-11,58
2008-12,67
2009-01,69
2009-02,73
2009-03,77
2009-04,82
2009-05,93
2009-06,90
2009-07,82
2009-08,78
2009-09,95
2009-10,94
2009-11,97
2009-12,98
2010-01,95
2010-02,100
2010-03,100
2010-04,99
2010-05,97
2010-06,99
2010-07,91
2010-08,85
2010-09,94
2010-10,94
2010-11,90
2010-12,91
2011-01,88
2011-02,86
2011-03,82
2011-04,79
2011-05,73
2011-06,71
2011-07,65
2011-08,61
2011-09,64
2011-10,63
2011-11,61
2011-12,59
2012-01,53
2012-02,50
2012-03,49
2012-04,46
2012-05,42
2012-06,39
2012-07,35
2012-08,32
2012-09,33
2012-10,35
2012-11,32
2012-12,31
2013-01,26
2013-02,23
2013-03,22
2013-04,19
2013-05,17
2013-06,16
2013-07,13
2013-08,11
2013-09,10
2013-10,9
2013-11,7
2013-12,7
2014-01,5
2014-02,5
2014-03,4
2014-04,3
2014-05,3
2014-06,3
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,<1
2016-04,<1
2016-05,<1
2016-06,<1
2016-07,<1
2016-08,<1
2016-09,<1
2016-10,<1
2016-11,<1
2016-12,<1
2017-01,<1
2017-02,<1
2017-03,<1
2017-04,<1
2017-05,<1
2017-06,<1
2017-07,<1
2017-08,<1
2017-09,<1
2017-10,<1
2017-11,<1
2017-12,<1
2018-01,<1
2018-02,<1
2018-03,<1
2018-04,<1
2018-05,<1
2018-06,<1
2018-07,<1
2018-08,<1
2018-09,<1
