Category: All categories

Month,twitter: (Worldwide)
2004-01,<1
2004-02,0
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,0
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,1
2007-05,1
2007-06,1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,2
2008-11,2
2008-12,3
2009-01,4
2009-02,8
2009-03,15
2009-04,21
2009-05,20
2009-06,26
2009-07,29
2009-08,30
2009-09,27
2009-10,26
2009-11,27
2009-12,27
2010-01,32
2010-02,34
2010-03,35
2010-04,38
2010-05,41
2010-06,43
2010-07,49
2010-08,49
2010-09,48
2010-10,47
2010-11,45
2010-12,48
2011-01,52
2011-02,57
2011-03,63
2011-04,64
2011-05,71
2011-06,73
2011-07,77
2011-08,78
2011-09,74
2011-10,77
2011-11,77
2011-12,80
2012-01,85
2012-02,86
2012-03,83
2012-04,87
2012-05,88
2012-06,90
2012-07,92
2012-08,94
2012-09,90
2012-10,95
2012-11,97
2012-12,99
2013-01,100
2013-02,95
2013-03,95
2013-04,98
2013-05,97
2013-06,100
2013-07,98
2013-08,92
2013-09,88
2013-10,81
2013-11,80
2013-12,79
2014-01,80
2014-02,78
2014-03,79
2014-04,74
2014-05,74
2014-06,73
2014-07,73
2014-08,73
2014-09,66
2014-10,63
2014-11,61
2014-12,59
2015-01,60
2015-02,60
2015-03,58
2015-04,56
2015-05,55
2015-06,55
2015-07,56
2015-08,55
2015-09,53
2015-10,52
2015-11,52
2015-12,51
2016-01,51
2016-02,48
2016-03,49
2016-04,48
2016-05,49
2016-06,48
2016-07,52
2016-08,47
2016-09,46
2016-10,47
2016-11,46
2016-12,45
2017-01,49
2017-02,48
2017-03,47
2017-04,47
2017-05,47
2017-06,47
2017-07,49
2017-08,48
2017-09,47
2017-10,47
2017-11,46
2017-12,47
2018-01,49
2018-02,47
2018-03,48
2018-04,47
2018-05,47
2018-06,48
2018-07,47
2018-08,47
2018-09,47
